LEVEL3_NAM,area_code_l3,LEVEL2_COD,LEVEL1_COD,total,n_assessed,pc_assessed,n_ass_threat,pc_ass_threat,n_pred_threat,pc_threat_pred,n_endemic,pc_endemic,n_endem_assessed,pc_endem_assessed,n_endem_ass_threat,pc_endem_ass_threat,n_endem_pred_threat,pc_endem_threat_pred,island,no.sp
West Virginia,WVA,75,7,45,11,0.24444444444444444,3,0.2727272727272727,4,0.08888888888888889,NA,0,0,NA,0,NA,4,NA,FALSE,FALSE
Wyoming,WYO,73,7,26,8,0.3076923076923077,3,0.375,3,0.11538461538461539,NA,0,0,NA,0,NA,3,NA,FALSE,FALSE
Christmas I.,XMS,42,4,11,0,0,0,NA,4,0.36363636363636365,3,0.2727272727272727,0,0,0,NA,4,1,TRUE,FALSE
Yakutskiya,YAK,30,3,27,5,0.18518518518518517,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Yemen,YEM,35,3,24,3,0.125,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Yugoslavia,YUG,13,1,92,24,0.2608695652173913,5,0.20833333333333334,6,0.06521739130434782,NA,0,0,NA,0,NA,6,NA,FALSE,FALSE
Yukon,YUK,70,7,19,7,0.3684210526315789,1,0.14285714285714285,1,0.05263157894736842,NA,0,0,NA,0,NA,1,NA,FALSE,FALSE
Zaïre,ZAI,23,2,581,85,0.14629948364888123,34,0.4,148,0.2547332185886403,49,0.08433734939759036,4,0.08163265306122448,2,0.5,148,0.9387755102040817,FALSE,FALSE
Zambia,ZAM,26,2,402,35,0.08706467661691543,7,0.2,77,0.19154228855721392,19,0.0472636815920398,0,0,0,NA,77,1,FALSE,FALSE
Zimbabwe,ZIM,26,2,336,35,0.10416666666666667,8,0.22857142857142856,37,0.11011904761904762,19,0.05654761904761905,6,0.3157894736842105,2,0.3333333333333333,37,0.8421052631578947,FALSE,FALSE
